release_year,type,rating,listed_in1,listed_in2,listed_in3,country1,Cluster
2016,Movie,TV-MA,Dramas, International Movies, Sports Movies,Portugal,0
2014,Movie,TV-Y,Movies,0,0,United States,1
2020,Movie,TV-14,Dramas, International Movies,0,Indonesia,0
2017,TV Show,TV-14,British TV Shows, International TV Shows, Reality TV,United Kingdom,3
2014,Movie,TV-14,Dramas, International Movies,0,India,0
2017,Movie,TV-MA,Dramas, Independent Movies, Sports Movies,United States,1
2014,TV Show,TV-14,International TV Shows, Korean TV Shows, Romantic TV Shows,South Korea,3
2015,Movie,NR,Horror Movies, Independent Movies, Thrillers,United States,1
2020,TV Show,TV-MA,Crime TV Shows, TV Dramas, TV Mysteries,United States,3
2019,TV Show,TV-MA,Crime TV Shows, Docuseries,0,United States,3
2014,Movie,R,Horror Movies, Thrillers,0,United States,1
2010,Movie,R,Action & Adventure, International Movies,0,Hong Kong,0
2018,Movie,TV-MA,Horror Movies, Thrillers,0,United States,1
2006,Movie,PG-13,Action & Adventure,0,0,United States,1
2009,Movie,PG-13,Comedies,0,0,United States,1
2020,Movie,TV-MA,Dramas, Independent Movies, International Movies,Italy,0
2016,Movie,R,Dramas, International Movies,0,Spain,0
2019,Movie,TV-MA,Horror Movies, Independent Movies, Thrillers,United States,1
2018,Movie,TV-MA,Horror Movies, Independent Movies,0,United States,1
2008,Movie,TV-MA,Comedies, International Movies,0,France,0
2014,Movie,TV-PG,Comedies, Dramas, International Movies,India,0
2013,Movie,PG-13,Documentaries, Music & Musicals,0,United States,1
2013,TV Show,TV-MA,Crime TV Shows, International TV Shows, TV Dramas,Turkey,3
2015,Movie,TV-PG,International Movies, Music & Musicals,0,South Korea,1
2018,Movie,TV-14,Sci-Fi & Fantasy,0,0,United Kingdom,1
2016,Movie,R,Dramas, Independent Movies,0,United States,1
2013,Movie,R,Comedies,0,0,United States,1
2019,TV Show,TV-MA,British TV Shows, Reality TV,0,United Kingdom,3
2018,TV Show,TV-14,International TV Shows, TV Dramas,0,India,3
2017,TV Show,TV-MA,Crime TV Shows, International TV Shows, TV Dramas,Canada,3
2016,Movie,TV-MA,Action & Adventure, Independent Movies, Sci-Fi & Fantasy,United States,1
2017,Movie,R,Action & Adventure,0,0,South Africa,1
2016,Movie,TV-14,Action & Adventure, Dramas, International Movies,India,0
2012,Movie,TV-MA,Dramas, International Movies, Thrillers,South Korea,0
2018,Movie,TV-MA,Action & Adventure, Comedies, International Movies,Argentina,0
2017,Movie,TV-MA,Documentaries,0,0,United Kingdom,1
2000,Movie,PG-13,Comedies, Dramas,0,United States,2
2016,TV Show,TV-PG,International TV Shows, Korean TV Shows, Romantic TV Shows,South Korea,3
2014,Movie,PG-13,Action & Adventure,0,0,United States,1
2015,Movie,PG-13,Dramas, LGBTQ Movies,0,United States,1
2016,Movie,TV-PG,Dramas, International Movies, Sports Movies,Indonesia,0
2009,Movie,PG-13,Comedies, Dramas, International Movies,India,0
2015,Movie,TV-MA,Comedies, International Movies,0,Germany,0
2016,Movie,TV-14,Comedies, International Movies,0,Egypt,0
2011,Movie,R,Action & Adventure, Comedies,0,United States,1
1989,Movie,TV-14,Dramas, International Movies,0,Denmark,2
2020,Movie,TV-MA,Dramas, International Movies, Romantic Movies,Poland,0
2020,Movie,TV-MA,Dramas, International Movies,0,Japan,0
2019,TV Show,TV-Y7,Kids' TV, TV Action & Adventure, TV Sci-Fi & Fantasy,United States,3
2019,Movie,TV-14,International Movies, Thrillers,0,Kenya,1
2017,Movie,TV-MA,Documentaries,0,0,United States,1
2018,TV Show,TV-Y7,Kids' TV,0,0,Italy,3
2019,TV Show,TV-MA,International TV Shows, Romantic TV Shows, Spanish-Language TV Shows,Spain,3
2017,Movie,TV-G,Children & Family Movies, Comedies,0,Canada,1
2019,Movie,TV-MA,Comedies, Dramas, Independent Movies,Spain,0
2015,Movie,NR,Comedies, LGBTQ Movies,0,United States,1
2019,Movie,TV-MA,Dramas, International Movies, Thrillers,Nigeria,0
2014,Movie,PG-13,Comedies, Dramas, Independent Movies,United States,1
2018,Movie,TV-14,Comedies, International Movies,0,Italy,0
2014,Movie,R,Comedies, Dramas, Romantic Movies,United States,1
2004,Movie,PG-13,Comedies, Romantic Movies,0,United States,1
2011,Movie,R,Comedies, Dramas, Independent Movies,United States,1
2012,Movie,TV-14,Dramas, International Movies,0,Indonesia,0
2019,Movie,TV-14,Comedies, International Movies,0,Romania,0
2018,Movie,TV-MA,Dramas, Independent Movies,0,United States,1
2017,Movie,R,Action & Adventure, Dramas, International Movies,New Zealand,0
2019,Movie,R,Action & Adventure, Dramas,0,United States,1
2015,Movie,TV-MA,Dramas, Independent Movies, Romantic Movies,United States,1
2014,Movie,TV-MA,Horror Movies, International Movies, Thrillers,India,0
2017,Movie,R,Comedies, Independent Movies, Thrillers,United States,1
2019,TV Show,TV-14,TV Shows,0,0,India,3
2016,Movie,TV-MA,Dramas, International Movies,0,Spain,0
2018,Movie,TV-PG,Comedies, International Movies, Music & Musicals,Pakistan,0
2011,Movie,TV-MA,Dramas, International Movies, Thrillers,India,0
2018,TV Show,TV-14,Docuseries, International TV Shows, Science & Nature TV,Australia,3
2017,TV Show,TV-14,Docuseries, International TV Shows, Science & Nature TV,Australia,3
2016,TV Show,TV-PG,Docuseries, International TV Shows, Science & Nature TV,Australia,3
2016,TV Show,TV-PG,British TV Shows, Docuseries, Science & Nature TV,United States,3
2019,Movie,TV-MA,Comedies, International Movies, Music & Musicals,India,0
2016,Movie,TV-PG,Dramas, International Movies, Thrillers,Nigeria,0
2011,Movie,PG,Children & Family Movies, Dramas, Sports Movies,Australia,0
2020,Movie,TV-PG,Children & Family Movies,0,0,United States,1
2017,Movie,R,Comedies,0,0,United States,1
2011,Movie,TV-14,Dramas, International Movies, Romantic Movies,China,0
2016,Movie,TV-14,Dramas, Independent Movies, International Movies,India,0
2016,Movie,PG,Dramas, Sci-Fi & Fantasy,0,United States,1
2017,TV Show,TV-MA,International TV Shows, TV Comedies, TV Dramas,Taiwan,3
1977,Movie,PG,Action & Adventure, Classic Movies, Dramas,United States,2
2020,Movie,PG-13,Comedies, Romantic Movies,0,United States,1
2018,Movie,G,Children & Family Movies, Dramas,0,United States,1
2016,Movie,TV-14,Comedies, International Movies, Romantic Movies,Turkey,0
2020,Movie,TV-14,Action & Adventure, International Movies, Romantic Movies,Taiwan,0
2018,Movie,TV-G,Dramas, Romantic Movies,0,Canada,1
2017,Movie,TV-PG,Children & Family Movies, Dramas, Romantic Movies,United States,1
2019,Movie,TV-PG,Children & Family Movies, Dramas, Romantic Movies,United States,1
2018,Movie,TV-PG,Children & Family Movies, Dramas, Romantic Movies,United States,1
2016,Movie,TV-Y7,Movies,0,0,France,1
2004,Movie,PG,Children & Family Movies, Comedies,0,United States,1
2019,Movie,PG,Children & Family Movies, Comedies, Music & Musicals,United States,1
1971,Movie,R,Classic Movies, Cult Movies, Dramas,United Kingdom,2
1993,Movie,R,Dramas, Romantic Movies,0,United States,2
2014,Movie,TV-Y7,Children & Family Movies, Comedies,0,United States,1
2020,Movie,TV-MA,Dramas, Thrillers,0,United States,1
2015,Movie,TV-PG,Documentaries, International Movies,0,Netherlands,0
2016,Movie,R,Dramas,0,0,Canada,1
2019,Movie,TV-PG,Movies,0,0,United States,1
2016,Movie,TV-14,Action & Adventure, International Movies, Sci-Fi & Fantasy,India,0
2018,Movie,TV-MA,Dramas, International Movies,0,Denmark,0
2018,Movie,TV-MA,Comedies,0,0,United States,1
2017,Movie,R,Dramas, Independent Movies,0,United States,1
2012,Movie,R,Comedies, Independent Movies,0,United States,1
2020,Movie,TV-Y,Children & Family Movies,0,0,United States,1
2013,TV Show,TV-14,International TV Shows, Romantic TV Shows, TV Dramas,Taiwan,3
2015,Movie,TV-PG,Documentaries,0,0,United Kingdom,1
2013,Movie,R,Comedies, Horror Movies,0,United States,1
2019,Movie,TV-14,Horror Movies, Independent Movies,0,United States,1
2015,Movie,TV-MA,Dramas, Independent Movies, International Movies,Germany,0
2011,Movie,TV-G,Children & Family Movies, Comedies, Romantic Movies,United States,1
2019,Movie,TV-MA,Comedies, International Movies,0,Hong Kong,0
2017,TV Show,TV-PG,International TV Shows, TV Dramas, TV Horror,Taiwan,3
2019,Movie,TV-MA,Documentaries, Sports Movies,0,United States,1
2016,Movie,R,Thrillers,0,0,United States,1
2017,TV Show,TV-MA,International TV Shows, Korean TV Shows, Romantic TV Shows,South Korea,3
2019,Movie,TV-MA,Dramas, International Movies,0,France,0
2014,Movie,R,Dramas, Independent Movies, International Movies,United Kingdom,0
2018,TV Show,TV-G,Stand-Up Comedy & Talk Shows, TV Comedies,0,United States,3
2019,TV Show,TV-G,International TV Shows, Romantic TV Shows, Teen TV Shows,China,3
2020,TV Show,TV-PG,International TV Shows, Romantic TV Shows, TV Comedies,South Korea,3
2007,Movie,TV-14,Dramas, International Movies, Romantic Movies,Philippines,0
2010,TV Show,TV-14,Crime TV Shows, International TV Shows, Korean TV Shows,South Korea,3
2016,Movie,TV-MA,Comedies, International Movies, Sports Movies,France,0
2016,Movie,PG-13,Dramas, Sci-Fi & Fantasy,0,United Kingdom,1
2014,Movie,R,Dramas, Thrillers,0,United Arab Emirates,1
2020,Movie,TV-MA,Dramas, LGBTQ Movies, Romantic Movies,United States,1
1998,Movie,PG-13,Comedies, Cult Movies,0,United States,2
2015,Movie,TV-MA,Dramas, International Movies,0,Netherlands,0
2015,Movie,TV-MA,Dramas, Thrillers,0,United Kingdom,1
2012,Movie,TV-MA,Dramas, Independent Movies, LGBTQ Movies,United States,1
2013,Movie,R,Dramas, Independent Movies, Romantic Movies,United States,1
2016,Movie,TV-14,Documentaries,0,0,United Kingdom,1
2011,Movie,TV-PG,Children & Family Movies, Dramas, Romantic Movies,United States,1
2020,TV Show,TV-14,International TV Shows, Reality TV,0,Brazil,3
2019,Movie,TV-MA,Comedies, International Movies,0,Spain,0
2011,Movie,NR,Stand-Up Comedy,0,0,Canada,1
2016,Movie,TV-MA,International Movies, Thrillers,0,India,0
2015,Movie,TV-MA,Dramas, International Movies, Romantic Movies,Philippines,0
2011,Movie,PG-13,Dramas, International Movies,0,Iran,0
2019,TV Show,TV-PG,Kids' TV, TV Action & Adventure, TV Comedies,United States,3
2009,Movie,R,Comedies, Independent Movies,0,United States,1
2020,Movie,G,Children & Family Movies, Comedies,0,United Kingdom,1
2016,Movie,TV-14,Anime Features, International Movies,0,Japan,0
2009,Movie,R,Dramas, Independent Movies, LGBTQ Movies,United States,1
2017,Movie,TV-14,Dramas, International Movies, Thrillers,Argentina,0
2015,Movie,TV-PG,Dramas, Independent Movies,0,United States,1
1988,Movie,TV-14,Dramas,0,0,United States,2
2017,Movie,TV-Y,Children & Family Movies, Comedies,0,United States,1
2019,Movie,TV-MA,Dramas, Independent Movies, International Movies,Taiwan,0
2018,TV Show,TV-MA,International TV Shows, TV Dramas,0,Taiwan,3
2015,Movie,PG-13,Dramas, International Movies,0,Israel,0
1996,Movie,R,Comedies, Romantic Movies,0,United States,2
2019,TV Show,TV-14,International TV Shows, TV Dramas,0,Taiwan,3
2012,Movie,PG-13,Comedies,0,0,United States,1
2016,TV Show,TV-MA,International TV Shows, TV Dramas,0,Taiwan,3
2016,Movie,TV-MA,Comedies, International Movies,0,Nigeria,0
2020,Movie,TV-Y7,Children & Family Movies,0,0,India,1
2018,Movie,TV-MA,Dramas, International Movies,0,Uruguay,0
2017,Movie,TV-G,Music & Musicals, Romantic Movies,0,United States,1
2015,Movie,TV-14,Comedies, Music & Musicals,0,United States,1
2018,TV Show,TV-MA,International TV Shows, TV Comedies,0,France,3
2008,Movie,TV-G,International Movies, Romantic Movies,0,Philippines,1
2002,Movie,PG,Dramas, Romantic Movies,0,United States,1
2008,Movie,TV-MA,Action & Adventure, Dramas, International Movies,India,0
2020,Movie,TV-PG,Anime Features, Children & Family Movies, International Movies,Japan,0
2017,Movie,PG,Children & Family Movies,0,0,Canada,1
2018,Movie,PG,Children & Family Movies,0,0,United States,1
2015,TV Show,TV-PG,Docuseries, International TV Shows, Science & Nature TV,United States,3
2016,Movie,TV-MA,Dramas, Independent Movies, International Movies,Singapore,0
2015,TV Show,TV-14,TV Dramas,0,0,United States,3
2018,TV Show,TV-14,Anime Series, International TV Shows,0,Japan,3
2019,Movie,TV-MA,Horror Movies,0,0,Canada,1
2018,Movie,PG,Action & Adventure, Children & Family Movies, Independent Movies,United States,1
2011,Movie,TV-MA,Dramas, International Movies, Romantic Movies,Turkey,0
2017,Movie,TV-MA,Comedies, International Movies,0,India,0
2009,Movie,TV-14,Comedies, International Movies, Music & Musicals,India,0
2013,Movie,TV-PG,Comedies, Dramas, International Movies,India,0
1988,Movie,TV-14,Action & Adventure, International Movies,0,India,2
2018,Movie,TV-PG,Dramas, Independent Movies, International Movies,India,0
2008,Movie,TV-14,International Movies, Thrillers,0,India,0
2018,Movie,TV-14,Dramas, International Movies, Thrillers,India,0
2011,Movie,TV-14,Dramas, International Movies,0,India,0
2010,Movie,TV-14,Dramas, International Movies,0,India,0
1993,Movie,TV-14,Dramas, International Movies, Music & Musicals,India,2
2010,Movie,TV-14,Comedies, Dramas, International Movies,India,0
2019,Movie,TV-14,Horror Movies, International Movies, Thrillers,India,0
2019,TV Show,TV-Y,Kids' TV,0,0,United States,3
2015,Movie,TV-PG,Comedies, Dramas, International Movies,India,0
2015,Movie,TV-14,Dramas, International Movies, Music & Musicals,India,0
2013,Movie,TV-14,Dramas, International Movies,0,India,0
2012,Movie,TV-MA,Action & Adventure, Dramas, International Movies,Egypt,0
2016,Movie,TV-14,Dramas, International Movies,0,Pakistan,0
2016,Movie,TV-14,Comedies, International Movies, Sci-Fi & Fantasy,India,0
2017,TV Show,TV-PG,International TV Shows, Korean TV Shows, Stand-Up Comedy & Talk Shows,South Korea,3
2012,Movie,TV-Y7,Children & Family Movies, Comedies,0,United States,1
2002,Movie,PG-13,Comedies, Dramas, International Movies,United Kingdom,0
2013,Movie,R,Comedies, Dramas, International Movies,United Kingdom,0
2019,TV Show,TV-14,Docuseries,0,0,United States,3
2020,TV Show,TV-PG,Docuseries, Science & Nature TV, TV Comedies,United States,3
2019,TV Show,TV-14,Crime TV Shows, International TV Shows, Korean TV Shows,South Korea,3
2015,Movie,TV-MA,Dramas, International Movies,0,Argentina,0
2016,Movie,TV-MA,Comedies, Dramas, International Movies,Mexico,0
2009,Movie,TV-MA,International Movies, Thrillers,0,Hong Kong,1
2018,TV Show,TV-14,International TV Shows, Romantic TV Shows, TV Comedies,China,3
2013,Movie,TV-PG,Dramas,0,0,United States,1
2015,Movie,TV-MA,Dramas, Sports Movies,0,Canada,1
2007,Movie,PG-13,Dramas, Music & Musicals, Romantic Movies,United States,1
2012,Movie,R,Action & Adventure,0,0,United States,1
2010,Movie,NR,Action & Adventure, International Movies,0,Turkey,0
2010,Movie,TV-PG,Children & Family Movies, Comedies, International Movies,India,0
2017,Movie,R,Action & Adventure, International Movies,0,Bulgaria,0
2018,Movie,R,Action & Adventure,0,0,Canada,1
2018,TV Show,TV-MA,Crime TV Shows, International TV Shows, TV Dramas,France,3
2020,Movie,TV-MA,Dramas, International Movies,0,Spain,0
2019,Movie,TV-MA,Stand-Up Comedy,0,0,United States,1
2018,TV Show,TV-14,TV Comedies,0,0,United States,3
2018,Movie,TV-MA,Stand-Up Comedy,0,0,United States,1
1986,Movie,TV-MA,Dramas,0,0,United States,2
2014,Movie,TV-14,Action & Adventure, Documentaries, International Movies,France,0
2018,Movie,TV-MA,Stand-Up Comedy,0,0,United States,1
2017,Movie,TV-MA,Stand-Up Comedy,0,0,India,1
2013,Movie,R,Dramas, Independent Movies, International Movies,Australia,0
2018,Movie,PG-13,Action & Adventure, Dramas, Romantic Movies,Hong Kong,0
2017,Movie,TV-14,Horror Movies, Independent Movies, International Movies,India,0
2015,Movie,TV-MA,Dramas, Independent Movies, Sci-Fi & Fantasy,United States,1
2018,Movie,NR,Comedies,0,0,Canada,1
2016,Movie,TV-14,International Movies, Sci-Fi & Fantasy,0,United Arab Emirates,1
2020,Movie,TV-MA,Stand-Up Comedy,0,0,Brazil,1
2013,TV Show,TV-PG,British TV Shows, Docuseries, International TV Shows,United Kingdom,3
2017,TV Show,TV-PG,Docuseries, International TV Shows,0,Brazil,3
2019,Movie,PG-13,Dramas, Romantic Movies,0,United States,1
2020,TV Show,TV-MA,British TV Shows, International TV Shows, TV Comedies,United Kingdom,3
2020,Movie,R,Dramas, Romantic Movies,0,United States,1
2017,Movie,R,Dramas,0,0,United Kingdom,1
2008,Movie,TV-MA,Dramas, Independent Movies,0,United States,1
2012,Movie,R,Action & Adventure, Horror Movies,0,United States,1
2014,TV Show,TV-14,Crime TV Shows, International TV Shows, TV Dramas,Singapore,3
2018,Movie,TV-MA,Dramas,0,0,United Kingdom,1
2017,TV Show,TV-MA,British TV Shows, Reality TV, Romantic TV Shows,United Kingdom,3
2018,TV Show,TV-MA,Crime TV Shows, International TV Shows, TV Dramas,Taiwan,3
2019,TV Show,TV-MA,International TV Shows, TV Dramas,0,Mauritius,3
2015,TV Show,TV-14,Crime TV Shows, International TV Shows, TV Action & Adventure,India,3
2020,TV Show,TV-14,Anime Series, International TV Shows,0,Japan,3
2018,Movie,TV-PG,Movies,0,0,Japan,1
1990,Movie,TV-14,Dramas, International Movies,0,India,2
2018,Movie,TV-MA,Stand-Up Comedy,0,0,Argentina,1
2009,Movie,TV-14,Horror Movies, International Movies,0,India,0
2006,Movie,TV-14,Dramas, International Movies, Romantic Movies,India,0
2012,Movie,R,Documentaries,0,0,United States,1
2019,TV Show,TV-14,International TV Shows, Reality TV, Romantic TV Shows,Japan,3
2018,TV Show,TV-MA,International TV Shows, Reality TV, Romantic TV Shows,Japan,3
2014,TV Show,TV-PG,British TV Shows, Docuseries, International TV Shows,United Kingdom,3
2020,Movie,TV-PG,Dramas, International Movies,0,United States,1
2020,Movie,TV-PG,Comedies, International Movies, Romantic Movies,United States,0
2015,Movie,TV-14,Dramas, Independent Movies, International Movies,India,0
2004,Movie,TV-14,International Movies, Music & Musicals, Romantic Movies,India,0
2018,Movie,TV-MA,Action & Adventure, Dramas, International Movies,India,0
2012,Movie,TV-14,Comedies, International Movies, Music & Musicals,India,0
2020,TV Show,TV-14,TV Comedies, TV Dramas,0,United States,3
2009,Movie,TV-14,Comedies, International Movies, Music & Musicals,India,0
2016,TV Show,TV-MA,Anime Series, International TV Shows,0,Japan,3
2017,Movie,TV-MA,Dramas, International Movies,0,India,0
2020,Movie,TV-MA,Comedies, Dramas, International Movies,India,0
2014,TV Show,TV-14,Anime Series, Crime TV Shows, International TV Shows,Japan,3
2019,TV Show,TV-G,Kids' TV, TV Comedies, TV Dramas,India,3
2017,TV Show,TV-14,Crime TV Shows, International TV Shows, TV Dramas,Lebanon,3
2020,Movie,TV-14,Action & Adventure, Comedies, Dramas,India,0
2017,Movie,TV-MA,Stand-Up Comedy,0,0,Mexico,1
2017,Movie,TV-MA,Dramas, LGBTQ Movies,0,United States,1
2019,Movie,TV-MA,Dramas, Independent Movies, International Movies,India,0
2016,Movie,TV-PG,Children & Family Movies,0,0,United States,1
2018,Movie,TV-MA,Stand-Up Comedy,0,0,Colombia,1
2018,Movie,TV-MA,Documentaries, International Movies, Music & Musicals,Spain,0
2019,Movie,TV-MA,Comedies, Dramas, International Movies,Uruguay,0
2020,Movie,TV-MA,Stand-Up Comedy,0,0,Mexico,1
2018,Movie,TV-MA,Comedies, Dramas, Independent Movies,United States,1
2020,TV Show,TV-G,Kids' TV, TV Comedies,0,United States,3
1979,Movie,TV-MA,Classic Movies, Dramas, International Movies,Egypt,2
1989,Movie,TV-MA,Classic Movies, Dramas, International Movies,France,2
2019,Movie,TV-MA,Documentaries, International Movies, Sports Movies,Uruguay,0
2019,Movie,TV-14,Dramas, International Movies, Romantic Movies,United Arab Emirates,0
2015,Movie,TV-MA,Action & Adventure, Comedies, International Movies,Turkey,0
2016,Movie,TV-MA,Stand-Up Comedy,0,0,United States,1
2018,Movie,TV-MA,Stand-Up Comedy,0,0,United States,1
2018,Movie,TV-MA,Comedies, Independent Movies, International Movies,Australia,0
2017,TV Show,TV-MA,Crime TV Shows, International TV Shows, TV Dramas,Canada,3
1980,Movie,TV-14,Action & Adventure, International Movies, Sci-Fi & Fantasy,Soviet Union,2
1974,Movie,PG,Classic Movies, Comedies, Dramas,United States,2
2020,TV Show,TV-MA,International TV Shows, TV Action & Adventure, TV Mysteries,Japan,3
2019,Movie,TV-MA,Comedies, International Movies, LGBTQ Movies,Brazil,0
2017,Movie,TV-PG,Documentaries,0,0,United States,1
2019,Movie,TV-MA,Action & Adventure, Sci-Fi & Fantasy,0,United States,1
2020,Movie,TV-Y,Children & Family Movies,0,0,United States,1
2018,Movie,PG,Children & Family Movies, Comedies, Sci-Fi & Fantasy,United States,1
2017,Movie,TV-MA,Dramas, International Movies, Romantic Movies,South Africa,0
2018,Movie,R,Comedies, Dramas, Independent Movies,United States,1
2018,TV Show,TV-PG,TV Comedies,0,0,United States,3
2019,TV Show,TV-14,TV Dramas, Teen TV Shows,0,United States,3
2020,Movie,TV-PG,Action & Adventure, Comedies, International Movies,Malaysia,0
2020,Movie,R,Dramas, Independent Movies,0,United States,1
1989,Movie,G,Children & Family Movies,0,0,Ireland,2
2020,TV Show,TV-MA,International TV Shows, Romantic TV Shows, Spanish-Language TV Shows,Colombia,3
2019,Movie,TV-MA,International Movies, Thrillers,0,Spain,1
2017,TV Show,TV-Y7,Kids' TV, TV Comedies,0,United States,3
2016,Movie,TV-G,Children & Family Movies, Independent Movies,0,United States,1
2018,Movie,TV-MA,Horror Movies, Thrillers,0,United States,1
2017,Movie,TV-MA,Comedies, Dramas, International Movies,Philippines,0
2006,Movie,R,Horror Movies,0,0,United States,1
2020,Movie,TV-MA,Dramas, Romantic Movies,0,United States,1
2018,Movie,R,Action & Adventure,0,0,United Kingdom,1
2020,Movie,TV-14,Comedies, International Movies, Romantic Movies,Mexico,0
2017,Movie,TV-MA,Comedies, Dramas, International Movies,Brazil,0
2020,Movie,PG,Dramas,0,0,United States,1
2009,Movie,TV-14,Comedies, International Movies, Romantic Movies,Hong Kong,0
2019,Movie,TV-MA,Dramas, International Movies,0,Germany,0
2017,Movie,R,Dramas, Romantic Movies,0,United States,1
2020,TV Show,TV-MA,International TV Shows, Spanish-Language TV Shows, TV Comedies,Argentina,3
2020,Movie,TV-MA,Comedies, Dramas, Independent Movies,United States,1
2016,Movie,R,Dramas,0,0,United Kingdom,1
2019,Movie,TV-14,Dramas, International Movies, Romantic Movies,Philippines,0
2001,Movie,R,Thrillers,0,0,United States,1
2013,Movie,TV-G,Children & Family Movies,0,0,United States,1
2014,Movie,TV-Y7,Children & Family Movies,0,0,United States,1
2014,TV Show,TV-Y,Kids' TV,0,0,United Kingdom,3
2020,TV Show,TV-MA,Crime TV Shows, TV Action & Adventure, TV Dramas,United States,3
2020,Movie,TV-MA,Action & Adventure, Anime Features, International Movies,Japan,0
2019,Movie,TV-14,Comedies, Romantic Movies,0,United States,1
2019,TV Show,TV-14,International TV Shows, Spanish-Language TV Shows, TV Comedies,Colombia,3
2016,Movie,TV-14,International Movies, Romantic Movies,0,Philippines,1
2002,Movie,PG-13,Documentaries, International Movies, Music & Musicals,South Africa,0
2017,Movie,TV-MA,Dramas, International Movies, Romantic Movies,Spain,0
2015,Movie,TV-MA,Comedies, Dramas, International Movies,United Kingdom,0
1977,Movie,TV-14,Action & Adventure, Classic Movies, Comedies,India,2
2011,Movie,TV-14,Dramas, International Movies,0,Egypt,0
2018,Movie,TV-MA,Dramas, Independent Movies, Sports Movies,United States,1
2017,Movie,TV-PG,Documentaries,0,0,United Kingdom,1
2014,TV Show,TV-14,Docuseries,0,0,United States,3
2013,TV Show,TV-14,Reality TV,0,0,United States,3
2016,Movie,TV-MA,Documentaries,0,0,United States,1
2017,Movie,R,Action & Adventure,0,0,United States,1
1999,Movie,R,Dramas,0,0,United States,2
2017,TV Show,TV-MA,Crime TV Shows, TV Dramas,0,United States,3
2016,TV Show,TV-MA,Crime TV Shows, TV Dramas,0,United States,3
2017,Movie,TV-MA,Documentaries,0,0,United States,1
2018,Movie,TV-14,Documentaries,0,0,United States,1
2019,Movie,TV-G,Documentaries,0,0,United States,1
2019,Movie,TV-MA,Thrillers,0,0,Canada,1
2014,Movie,R,Action & Adventure, Dramas,0,Canada,1
1998,Movie,R,Dramas,0,0,United States,2
2016,Movie,R,Dramas, Independent Movies,0,United Kingdom,1
